201,"jawahar lal nehru medical, ajmer"
130,"jawaharlal nehru medical college, bhagalpur"
195,"jhalawar medical college, jhalawar"
40,"jln ims, imphal"
149,"jln medical college, datta meghe, wardha"
15,"jorhat medical college and hosp., jorhat"
102,"jss dental college and hosp., jagadguru"
147,"jss medical college, jagadguru"
58,"jwahar lal nehru m.c.amu, aligarh"
165,"k m shah dental collegel, sumandeep vidyapeeth vadodara"
255,"k.a.p.viswanatham g.m.c.,tiruchirapalli"
123,"k.s hegde medical academy, mangaluru"
148,"kalinga institute of dental sciences, bhubaneswar"
56,"kalinga institute of medical sciences, bhubaneswar"
78,"kalpana chawla govt.medical college, karnal"
31,"kanyakumari govt.med.coll.,asaripallam"
88,"karnatak inst.of medical sc.,hubli"
244,"karwar institute of medical sciences, karwar"
222,"kasturba medical college, manipal univ., mangalore"
70,"kasturba medical college, manipal univ., manipal"
213,"kgmc, lucknow"
254,kle vk inst.of dental scie.belagavi
51,"kodagu institute of medical sciences, kodagu"
129,koppal institute of medical sciences
283,"krishna inst.of med.scie., karad"
117,"l.l.r.m.medical college, meerut"
228,"lady hardinge medical college, new delhi"
34,"lokmanya tilak  municipal m c,mumbai"
135,"lt.b r k government medical college, jagdalpur"
118,"lt.l a m govt.medical college, raigarh"
141,"m.g.d.c.& hosp., puducherry"
232,"m.g.m.medical college, indore"
101,"m.g.m.medical college,jamshedpur"
125,"m.p.shah medical college, jamnagar"
152,"madras medical college, chennai"
208,"madurai medical college, madurai"
271,"maharaja k.c.gajapati m.c.,brahmapur"
220,"maharani laxmi bai medical coll,jhansi"
176,"malda med.college, malda"
216,"mandya inst.of medical sci., mandya"
191,"manipal college of dental sce., manipal"
47,"manipal college of dental science, mangalore"
236,"maulana azad inst.of dental sci,n.delhi"
104,"maulana azad medical college, new delhi"
172,"medical college, baroda"
92,"medical college, bhavnagar"
286,"medical college, kolkata"
127,"meenakshi ammal dental college and host., chennai1"
252,"meenakshi medical college host.and res.inst., chennai"
55,"mg inst.of medical sciences, sevagram wardha"
197,"mgm medical college, aurangabad"
289,"mgm medical college, navi mumbai"
166,"mgmc and sri balaji vidyapeeth, pondicherry"
61,"midnapore medical college, midnapur"
173,"mm college of dental scie.and res., mullana"
260,"mm inst.med.and research, mullana"
42,"moti lal nehru medical coll, allahabad"
35,"mra medical college ambedkar nagar, up"
247,"mursidabad m c & hosp., mursidabad"
120,mysore med.& research inst.mysore
240,"nair hosp dental college & hosp,mumbai"
107,"nalanda medical college, patna"
44,"ndmc medical college, delhi"
0,"neigrihms, shillong"
217,"netaji subhash chandra bose mc,jabalpur"
159,"nilratan sirkar medical college, kolkata"
38,"north bengal dent.coll,sushrutnagar"
83,"north bengal med.coll,darjeeling"
210,"pataliputra medical college, dhanbad"
170,"patna dental college & hosp., patna"
52,"patna medical college, patna"
263,"pb.govt.dental college & hosp,amritsar"
266,"pt.b.d.sharma pgims, rohtak"
162,"pt.d.d.u medical college, rajkot"
84,"pt.j n m medical college, raipur"
108,"pt.jawahar lal nehru govt.med.college, chamba"
105,"pt.raghunath murmu med.college, baripada"
64,"r.g.kar medical college,kolkata"
142,"r.n.t.medical college, udaipur"
175,"raichur inst.of medical sci., raichur"
189,"rajah muthiah dental college and hos., annamalai"
144,"rajah muthiah medical college, annamalai universit"
